;SSP1;;;;;SSP2;;;;;SSP3;;;;;SSP4;;;;;SSP5;;;;
Iceland;0.296743;0.320135946;0.369759675;0.416736909;0.461013682;0.296743;0.320135946;0.368744573;0.413212834;0.453515486;0.296743;0.320135946;0.358828891;0.382150296;0.396254613;0.296743;0.320135946;0.36476794;0.400560006;0.429460102;0.296743;0.320135946;0.378460871;0.444882937;0.513052273
India;1140.042863;1224.614327;1361.281154;1458.928635;1523.660289;1140.042863;1224.614327;1388.089457;1528.595194;1645.884555;1140.042863;1224.614327;1412.090248;1603.709235;1787.901745;1140.042863;1224.614327;1376.33415;1489.144466;1565.229566;1140.042863;1224.614327;1360.705885;1457.426895;1521.1824
Indonesia;227.303175;239.870937;259.2986004;270.4661076;274.520573;227.303175;239.870937;261.7048546;277.3638474;286.3139661;227.303175;239.870937;264.2141201;285.081649;299.2725442;227.303175;239.870937;258.5216983;267.7705243;268.717211;227.303175;239.870937;258.8964218;269.3348023;272.6613468
Iran, Islamic Republic of;69.732007;73.97363;81.35037387;85.29531473;87.40442852;69.732007;73.97363;82.33865471;87.94997884;91.65828591;69.732007;73.97363;83.57767835;91.36118541;97.5025406;69.732007;73.97363;81.70862107;86.05787193;88.13619537;69.732007;73.97363;81.23007751;84.95974391;86.88456833
Iraq;27.359461;31.671591;39.55194402;46.72915064;53.11126163;27.359461;31.671591;40.7723034;50.17447416;59.5345637;27.359461;31.671591;42.35384924;55.60840784;70.30457386;27.359461;31.671591;42.21992143;55.11743706;69.26053209;27.359461;31.671591;39.4405075;46.31494119;52.29506521
Ireland;4.158042;4.4699;5.052398185;5.560931526;6.056159274;4.158042;4.4699;5.036743465;5.5133676;5.955771445;4.158042;4.4699;4.925221059;5.154494517;5.284938827;4.158042;4.4699;4.991608033;5.371562912;5.683602061;4.158042;4.4699;5.151209936;5.881843389;6.656458478
Israel;6.604572;7.4184;9.226245502;11.02572537;12.82467253;6.604572;7.4184;9.236617159;11.05026103;12.85953375;6.604572;7.4184;8.934825371;10.10493644;11.13967267;6.604572;7.4184;9.114744221;10.63793524;12.03018951;6.604572;7.4184;9.509965519;11.94571437;14.54680579
Italy;58.671206;60.550848;62.00594228;62.69598573;63.34872436;58.671206;60.550848;61.70174103;61.95392772;62.02248308;58.671206;60.550848;60.55608363;58.53568515;55.86639287;58.671206;60.550848;61.41243505;60.98902771;60.21381769;58.671206;60.550848;62.89220969;65.37308511;68.19653033
Jamaica;2.681653;2.741052;2.791663788;2.757369436;2.65563935;2.681653;2.741052;2.836290518;2.879722844;2.859032285;2.681653;2.741052;2.925615305;3.17372145;3.375719925;2.681653;2.741052;2.799605467;2.772560629;2.671131065;2.681653;2.741052;2.736797198;2.583038436;2.366384784
Japan;126.392944;126.53592;125.4825501;122.3723456;118.2935053;126.392944;126.53592;124.812548;120.4098133;114.7544099;126.392944;126.53592;123.2105004;115.4743767;105.8439747;126.392944;126.53592;124.1466772;118.3993516;111.1469075;126.392944;126.53592;126.4258868;125.3692473;123.7834789
Jordan;5.342002;6.187227;7.862273005;9.439683034;10.83333758;5.342002;6.187227;7.993064754;9.855413794;11.63331206;5.342002;6.187227;7.994765496;9.933568629;11.88195054;5.342002;6.187227;8.106260531;10.29820767;12.51383215;5.342002;6.187227;7.983313711;9.81260304;11.46650743
Kazakhstan;15.171805;16.026367;17.39834673;18.16656086;18.64206721;15.171805;16.026367;17.59049644;18.69446537;19.58072346;15.171805;16.026367;17.73976209;19.13159368;20.39680219;15.171805;16.026367;17.36080311;18.05053905;18.38169363;15.171805;16.026367;17.39400681;18.19959967;18.70373103
Kenya;35.614576;40.512682;49.71603773;57.97425757;65.1648672;35.614576;40.512682;50.65755137;60.59331379;70.03535175;35.614576;40.512682;52.53434108;66.20527832;80.85038479;35.614576;40.512682;52.1387871;64.99547542;78.3582258;35.614576;40.512682;49.55266056;57.34033913;63.85866708
Kiribati;;;;;;;;;;;;;;;;;;;;;;;;;
Korea, Democratic People's Republic of;23.745941;24.346229;25.16274455;25.321605;24.79924266;23.745941;24.346229;25.39601933;25.9022886;25.66409755;23.745941;24.346229;25.48543365;26.33870739;26.40170925;23.745941;24.346229;25.08992054;25.12104735;24.36823332;23.745941;24.346229;25.16387208;25.32535884;24.80971253
Korea, Republic of;47.044126;48.183584;49.59029387;50.28266889;49.90433081;47.044126;48.183584;49.37755506;49.66064722;48.63018578;47.044126;48.183584;48.90773906;48.00708895;45.4196932;47.044126;48.183584;49.1337652;48.84403855;47.20897979;47.044126;48.183584;49.90543775;51.32509133;51.81731566
Kuwait;2.264014;2.736732;3.541177205;4.243048099;4.886135086;2.264014;2.736732;3.584267393;4.386213014;5.165719136;2.264014;2.736732;3.503069655;4.154027035;4.804359863;2.264014;2.736732;3.550633934;4.270175942;4.92228211;2.264014;2.736732;3.656264067;4.580420086;5.445350329
Kyrgyzstan;5.042381;5.334223;5.74554415;5.912118247;5.93305943;5.042381;5.334223;5.839475549;6.160790627;6.36704867;5.042381;5.334223;5.996312143;6.6573347;7.242274922;5.042381;5.334223;5.747374906;5.908796852;5.908740717;5.042381;5.334223;5.659697997;5.650300759;5.492097631
Lao People's Democratic Republic;5.753341;6.200894;6.930638507;7.422458981;7.646660677;5.753341;6.200894;7.066441747;7.802130349;8.303702813;5.753341;6.200894;7.225665745;8.33466687;9.244942174;5.753341;6.200894;7.178670874;8.164918953;8.936731563;5.753341;6.200894;6.879686609;7.250698097;7.350785991
