Countries;CO2 total excl. Land Use excl. BB (ktCO2);;;;;CH4 ( ktCH4);;;;;N2O (ktN2O);;;;;HFC tot (GWP100, ktCO2e);;;;;PFC tot (GWP100, ktCO2e);;;;;SF6 tot (ktSF6);;;;;CO2 Land Use (ktCO2);;;;;
;1990;1995;2000;2005;2010;1990;1995;2000;2005;2010;1990;1995;2000;2005;2010;1990;1995;2000;2005;2010;1990;1995;2000;2005;2010;1990;1995;2000;2005;2010;1990;1995;2000;2005;2010;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cote d'Ivoire;2933.32;3656.26;6752.15;6379.09;6734.67;578.39;575.23;677.95;594.02;768.49;24.57;24.44;27.28;24.10;31.73;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-5904.14;-5904.14;-5899.58;-9170.44;5432.58;
Croatia;24793.40;16535.99;19057.14;22500.11;20680.20;198.38;185.95;188.26;215.07;239.76;15.27;12.07;12.21;11.70;9.49;0.01;2.99;16.26;47.49;63.06;890.42;293.78;63.02;10.92;10.92;0.00;0.00;0.00;0.00;0.00;-13949.48;-11614.44;-11603.54;-11623.33;-9584.67;
Cuba;36948.97;23658.27;28752.47;26089.86;30809.87;574.39;496.12;502.91;441.63;399.70;31.31;24.30;23.64;20.70;18.70;0.03;5.47;34.19;127.83;169.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-34796.67;-34796.67;-34796.67;-32706.67;37693.33;
Cyprus;4531.80;5599.44;7009.61;7864.77;7958.48;20.99;24.93;27.06;29.41;30.38;0.78;0.88;0.83;0.93;1.02;0.04;15.01;78.37;188.33;251.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-66.37;-66.37;-66.37;-113.67;-387.93;
Czech Republic;168676.53;131952.31;129708.82;125671.18;120170.98;868.91;554.46;617.00;573.99;573.02;32.29;26.99;30.75;23.00;23.52;0.08;82.40;399.54;1078.74;1434.05;2.81;5.10;28.84;27.52;37.30;0.00;0.00;0.00;0.00;0.00;-12363.90;-12539.18;-12513.44;-12276.42;-6776.39;
Denmark;52871.94;60749.62;53103.45;50698.79;48257.70;380.06;390.53;387.10;378.90;369.91;26.74;24.50;22.89;18.70;17.45;0.34;129.48;662.21;1249.54;1677.57;6.28;15.98;38.14;36.44;47.71;0.00;0.01;0.00;0.00;0.02;605.82;605.82;605.72;1705.19;971.86;
Djibouti;805.53;508.64;742.43;959.43;1276.86;19.89;23.30;26.70;28.12;29.60;0.60;0.69;0.77;0.79;0.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
Dominica;84.69;97.87;126.45;135.75;157.38;1.73;1.78;1.82;1.84;1.90;0.08;0.06;0.07;0.06;0.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-43.28;-43.28;-43.28;11.68;525.60;
Dominican Republic;8026.15;11976.02;18554.19;19295.48;20694.15;285.86;321.97;296.99;318.69;320.31;6.87;7.73;7.17;7.52;6.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-10010.00;-10010.00;-10010.00;-8653.33;-8726.67;
Ecuador;16984.34;19097.53;19834.39;27230.39;36681.86;523.20;678.94;611.92;720.68;736.99;10.30;13.11;13.13;14.70;17.19;0.01;4.03;19.68;62.19;82.41;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;42437.22;42437.22;42437.26;33882.89;33882.89;
Egypt;89860.68;97113.23;120145.57;171096.25;208169.34;1285.40;1500.39;1712.21;2283.77;2426.56;61.51;81.90;70.62;78.70;79.41;0.03;10.43;94.68;315.45;418.50;1280.83;1235.41;1363.82;1747.08;1899.80;0.03;0.03;0.05;0.05;0.00;-547.43;-547.43;-547.43;-583.73;-218.53;
El Salvador;2588.64;5112.39;5770.74;6857.28;6683.65;127.28;128.33;133.21;150.10;141.56;4.31;4.13;4.39;4.51;4.47;0.00;0.07;41.44;76.37;103.42;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;871.08;871.08;871.08;875.36;833.70;
Equatorial Guinea;72.86;1269.15;2500.06;3340.47;2924.83;5.60;37.54;80.26;120.50;138.17;0.06;0.08;0.11;0.12;0.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5323.67;5323.67;5323.65;5360.31;5433.65;
Eritrea;48.88;810.62;673.85;614.01;515.97;98.60;95.81;127.73;124.46;135.10;3.32;2.98;4.39;3.84;3.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;1219.22;1219.27;616.44;581.04;
Estonia;36910.41;16825.85;15192.10;17664.17;18549.46;162.26;100.47;101.72;105.35;110.55;6.42;3.70;3.09;3.64;2.94;0.00;1.24;7.84;33.79;44.58;0.55;1.24;3.47;3.42;4.50;0.00;0.00;0.00;0.00;0.00;-502.97;-502.97;-506.83;6818.38;1194.73;
Ethiopia;2396.86;2702.46;3706.24;5303.30;6283.29;1903.87;1993.05;2199.61;2521.89;3010.32;81.54;78.22;86.00;97.60;126.04;0.00;0.15;3.62;10.28;13.71;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;32842.00;31622.78;29197.45;32018.13;29385.71;
European Union;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fiji;582.63;596.80;532.61;885.25;1161.70;30.25;34.98;33.56;33.16;33.36;1.14;1.27;1.11;1.22;1.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-1678.89;-1678.89;-1678.89;-2047.80;624.28;
Finland;56514.96;61018.05;59817.03;59802.83;66894.55;479.46;485.86;492.51;464.76;425.37;25.20;22.85;22.45;22.80;18.77;0.12;62.28;378.19;754.89;1012.91;3.94;5.03;50.33;30.50;42.99;0.00;0.01;0.00;0.00;0.00;-24558.81;-24558.81;-24559.10;-15828.62;-20098.52;
France;387191.54;383261.27;405964.52;418533.61;390689.57;3607.12;3534.52;4078.42;3948.17;3991.72;238.29;224.54;171.92;162.00;124.76;4654.30;4050.54;9406.39;12734.70;15694.41;1676.87;1304.10;1255.85;805.39;539.12;0.14;0.11;0.10;0.07;0.04;-23245.43;-23245.43;-23289.65;-77790.15;-50891.03;
Gabon;6166.39;5655.73;6493.53;6515.51;5638.75;165.64;189.70;194.38;204.67;181.82;0.99;1.01;0.82;1.54;2.65;0.00;0.59;2.92;8.43;11.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;406.69;406.69;403.01;411.09;396.05;
Gambia;99.62;123.30;150.50;177.34;226.07;29.25;31.39;34.37;35.92;48.52;1.07;1.06;1.21;1.19;1.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-451.00;-451.00;-451.00;-454.67;-454.67;
Georgia;34505.62;8468.55;5179.60;4765.98;5685.62;239.77;196.01;197.02;210.15;231.55;9.45;5.77;7.86;7.82;7.31;0.00;0.36;2.46;11.83;15.59;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-4033.33;-4033.33;-4033.33;-3527.33;-3520.00;
Germany;1007786.76;907280.24;859257.86;827057.52;804371.47;5499.35;4408.00;3628.96;2941.14;2726.70;229.41;236.92;173.99;172.00;136.93;2581.45;4516.95;11277.60;14684.60;18991.61;4420.42;1817.21;1919.10;1702.69;897.56;0.23;0.33;0.23;0.23;0.20;-50559.49;-50559.49;-50559.90;-18300.31;-13900.36;
Ghana;3143.06;4055.61;6101.78;7206.01;11142.31;377.37;427.77;458.47;475.02;984.03;16.46;15.88;17.00;15.50;55.64;0.00;0.37;1.85;7.85;10.35;596.19;323.81;146.07;6.93;6.93;0.00;0.00;0.00;0.00;0.00;20466.90;20466.90;20466.33;37538.33;-7158.34;
Greece;78245.05;84495.62;96181.29;103962.80;89110.82;368.31;367.20;385.70;391.17;400.93;25.84;22.46;21.28;22.80;16.51;507.17;1799.73;2368.39;1911.39;2389.52;1675.87;717.70;311.28;137.55;137.55;0.01;0.01;0.01;0.00;0.04;-685.56;-685.56;-684.28;-691.93;-697.56;
Grenada;1.94;2.04;2.15;2.29;2.38;1.18;1.27;1.46;1.61;1.71;0.03;0.04;0.05;0.07;0.08;0.00;0.00;0.00;0.00;0.00;0.15;0.18;0.20;0.23;0.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;351.27;-175.27;
Guatemala;3899.00;6724.76;9585.28;11671.12;11785.54;228.49;255.20;923.08;400.17;321.07;8.05;9.70;46.67;17.50;14.57;0.05;23.98;157.57;477.79;634.47;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;15253.33;15253.33;15253.33;15180.00;15913.33;
Guinea;1126.31;1234.89;1372.14;1389.61;1754.33;414.94;399.95;419.87;481.36;1337.71;18.55;18.19;17.92;19.60;67.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13701.85;13701.85;13652.06;13663.60;13281.50;
Guinea-Bissau;151.53;155.41;186.79;220.08;282.23;41.03;43.53;45.76;50.84;66.32;1.70;1.72;1.77;2.21;3.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1466.67;1466.67;1466.67;2200.00;1466.67;
Guyana;1655.75;1842.62;2531.80;2428.41;2705.41;59.82;80.22;51.40;62.57;99.16;6.64;6.64;6.08;6.49;6.71;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9594.33;9594.33;8067.89;12277.26;8634.51;
Haiti;1135.51;1121.14;1597.81;2221.38;2301.66;157.51;179.87;196.79;202.64;214.54;2.94;3.37;4.52;4.70;4.73;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;143.00;143.00;143.00;154.00;161.33;
Honduras;2339.47;3767.41;4983.35;7720.45;8005.13;189.11;191.87;164.14;248.63;272.84;7.83;9.54;10.14;9.89;10.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;40333.33;40333.33;40333.33;28600.00;27866.67;
Hungary;70727.81;60409.49;57552.79;59288.28;51434.62;479.42;356.17;392.45;376.19;346.79;34.91;20.41;25.86;25.20;13.60;0.07;69.41;428.21;1191.44;1584.73;686.04;318.17;333.76;318.20;209.40;0.00;0.00;0.00;0.00;0.03;3590.08;3590.08;3597.16;5275.84;3065.12;
Iceland;2334.94;2435.96;2851.51;3125.99;3658.00;16.27;15.83;16.03;15.99;18.25;1.32;1.23;1.27;1.24;1.18;0.01;3.73;22.27;46.55;62.37;1033.40;69.76;104.55;101.62;117.55;0.00;0.00;0.00;0.00;1.69;-20.08;-20.08;-20.14;-51.33;-73.33;
India;652486.70;867356.33;1059186.92;1258595.47;1840778.77;24462.10;25822.40;26749.20;27841.70;29594.30;547.09;643.34;695.77;730.00;755.28;1702.06;3294.03;8107.16;9845.19;12769.44;2103.98;1678.40;2008.76;1115.82;852.41;0.24;0.14;0.14;0.19;0.00;-47947.52;-47947.52;-47948.37;-166023.29;-127157.08;
Indonesia;159308.59;234219.33;291787.92;358588.34;419709.12;10072.90;9529.85;8096.77;14640.70;10425.60;324.37;322.88;306.24;539.00;294.56;0.00;0.00;0.00;0.00;0.00;657.87;546.88;170.59;134.37;98.15;0.04;0.04;0.03;0.04;0.00;901983.19;901983.19;768498.26;1100954.03;1297918.91;
Int. Aviation;258943.14;291218.53;355385.27;423202.09;462438.75;2.06;2.16;2.50;2.97;3.22;14.80;15.09;17.37;20.70;12.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;
Int. Shipping;367521.43;426843.71;493767.96;572544.40;660729.57;41.12;46.73;54.81;63.32;74.32;50.38;56.92;65.58;73.20;15.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;
Iran, Islamic Republic of;204193.43;277653.01;350958.78;467096.83;570492.93;2702.33;3293.04;3798.50;4775.75;5490.59;62.27;71.70;81.55;91.50;77.25;0.00;0.00;0.00;0.00;0.00;209.78;297.39;133.06;113.10;67.67;0.10;0.07;0.07;0.10;0.07;-172.33;-172.33;-172.33;-3446.67;-3102.00;
Iraq;67847.89;112807.71;86066.72;90988.42;124252.71;1020.07;632.92;1063.25;983.71;1136.84;15.30;15.29;16.85;15.20;15.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.01;0.00;0.00;-987.53;-987.53;-987.53;-968.18;-1700.85;
