Emissions ktCO2eq;;;;;;;CEPII;;;;;;;;;;;;;;;OECD;;;;;;;;;;;;;;;IIASA;;;;;;;;;;;;;;;PIK;;;;;;;;;;;;;;
Country;Emission type;;;;;;SSP1;;;SSP2;;;SSP3;;;SSP4;;;SSP5;;;SSP1;;;SSP2;;;SSP3;;;SSP4;;;SSP5;;;SSP1;;;SSP2;;;SSP3;;;SSP4;;;SSP5;;;SSP1;;;SSP2;;;SSP3;;;SSP4;;;SSP5;;
;;1990;1995;2000;2005;2010;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95
Argentina;hfc;206.32;56.22;62.96;218.13;222.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentina;pfc;1943.31;134;132.39;111.26;99.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentina;sf6;239;239;239;239;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentina;GHGexclLU;250007.91;264883.52;286104.65;309156.65;327317.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentina;co2lu;18296.66667;39600;41800;31203.33333;524333.3333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentina;GHGtot;268304.5767;304483.52;327904.65;340359.9833;851651.1033;378476.9139;428830.2133;479211.7092;378476.9139;428830.2133;479211.7092;378476.9139;428830.2133;479211.7092;378476.9139;428830.2133;479211.7092;378476.9139;428830.2133;479211.7092;378476.9139;428830.2133;479211.7092;378476.9139;428830.2133;479211.7092;378476.9139;428830.2133;479211.7092;378476.9139;428830.2133;479211.7092;378476.9139;428830.2133;479211.7092;378476.9139;428830.2133;479211.7092;378476.9139;428830.2133;479211.7092;378476.9139;428830.2133;479211.7092;378476.9139;428830.2133;479211.7092;378476.9139;428830.2133;479211.7092;378476.9139;428830.2133;479211.7092;378476.9139;428830.2133;479211.7092;378476.9139;428830.2133;479211.7092;378476.9139;428830.2133;479211.7092;378476.9139;428830.2133;479211.7092
Armenia;co2;20744.35;3672.34;3714.02;4586.51;4278.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Armenia;ch4;2889.81;2427.39;2565.36;2960.16;3328.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Armenia;n2o;806;468.1;461.9;582.8;985.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Armenia;hfc;0.03;6.79;41.99;332.16;435.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Armenia;pfc;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
