;SSP1;;;;;SSP2;;;;;SSP3;;;;;SSP4;;;;;SSP5;;;;
Indonesia;3141.29;3872.67;5212.49;7057.85;9725.2;3141.29;3872.67;5165.13;6676.49;8760.23;3141.29;3872.67;4946.99;5805.01;6825.72;3141.29;3872.67;4994.3;6163.43;7538.09;3141.29;3872.67;5435.96;7899.45;11608.96
Iran, Islamic Republic of;9172.93;10882.26;11394.46;12622.95;13401.88;9172.93;10882.26;11272.37;11950.56;12225.46;9172.93;10882.26;10845.48;10560.45;9889.9;9172.93;10882.26;11111.58;11808.03;11819.63;9172.93;10882.26;11755.19;13154.26;14252.59
Iraq;;;;;;;;;;;;;;;;;;;;;;;;;
Ireland;38779.93;36841.95;41716.3;54235.3;66846.77;38779.93;36841.95;40094.69;49529.8;58110.35;38779.93;36841.95;37308.7;42547.52;45251.54;38779.93;36841.95;43571.82;60815.88;79476.61;38779.93;36841.95;43286.23;58296.06;75651.05
Israel;24493.63;26914.95;31476.18;36931.98;44819.36;24493.63;26914.95;31260.43;35330.55;40274.51;24493.63;26914.95;30347.44;33447.36;35871.18;24493.63;26914.95;30290.33;33256.74;36024.98;24493.63;26914.95;32615.62;39177.63;49574.11
Italy;28248.64;27047.65;27557.75;30035.79;33689.96;28248.64;27047.65;27514.39;29498.93;31740.96;28248.64;27047.65;26619.31;27250.13;27116.24;28248.64;27047.65;28602.56;32460.73;36419.75;28248.64;27047.65;28579.46;32465.18;38311.66
Jamaica;6998.77;6734.93;7484.63;8652.51;10312.98;6998.77;6734.93;7390.98;8023;9007.45;6998.77;6734.93;7062.39;6915.73;7000.3;6998.77;6734.93;7157.73;7522.01;8027.51;6998.77;6734.93;7779.28;9512.16;11817.82
Japan;30631.74;31053.51;35445.84;42774.15;51588.68;30631.74;31053.51;35461.23;42711.71;50989.08;30631.74;31053.51;34364.73;39738.44;43369.82;30631.74;31053.51;36807.33;46615.46;57342.46;30631.74;31053.51;36709.51;45979.84;57930.04
Jordan;4474.78;4915.77;6452.72;10531.74;16330.84;4474.78;4915.77;6358.29;9712.06;14108.2;4474.78;4915.77;6015.67;7939.3;9750.73;4474.78;4915.77;6019.35;8024.22;10241.55;4474.78;4915.77;6859.5;12319.95;20996.1
Kazakhstan;8746.96;11196.64;14688.22;19023.13;24108.77;8746.96;11196.64;14567.3;18158.15;22138.79;8746.96;11196.64;14058.49;16248.39;18264.03;8746.96;11196.64;14367.79;17979.04;21405.15;8746.96;11196.64;15048.76;19817.28;25984.21
Kenya;1339.96;1471.61;1812.27;2630.46;4092.06;1339.96;1471.61;1779.85;2403.38;3520.33;1339.96;1471.61;1664.84;1870.41;2256.49;1339.96;1471.61;1657.33;1833.69;2224.29;1339.96;1471.61;1897.03;3057.18;5199.09
Kiribati;;;;;;;;;;;;;;;;;;;;;;;;;
Korea, Democratic People's Republic of;;;;;;;;;;;;;;;;;;;;;;;;;
Korea, Republic of;23318.48;27302.3;38713.04;54478.36;76470.72;23318.48;27302.3;38705.88;54209.21;75384.07;23318.48;27302.3;37299.8;49874.12;64447.75;23318.48;27302.3;40292.93;59307.59;84810.34;23318.48;27302.3;40309.41;59117.1;86529.03
