;SSP1;;;;;SSP2;;;;;SSP3;;;;;SSP4;;;;;SSP5;;;;
Bolivia;34.50153601;37.06350627;52.94325319;75.87297518;114.7166514;34.50153601;37.06350627;51.54192478;69.59909707;98.83224693;34.50153601;37.06350627;50.02116564;62.51416381;82.22043452;34.50153601;37.06350627;49.37113388;61.40682718;82.13401171;34.50153601;37.06350627;53.066665;77.98675191;123.6352656
Bosnia and Herzegovina;23.59328948;32.83001294;53.64546446;78.04833805;94.56869546;23.59328948;32.83001294;53.46017364;76.51363894;91.47173682;23.59328948;32.83001294;53.39049116;75.15624704;87.41107292;23.59328948;32.83001294;52.70867777;71.6006991;79.80889955;23.59328948;32.83001294;54.0492958;81.46676104;104.230037
Botswana;21.64942286;17.65540107;26.90880362;45.90403933;68.26146184;21.64942286;17.65540107;27.07314073;43.85986356;63.70885298;21.64942286;17.65540107;26.17358193;38.47317198;50.18366549;21.64942286;17.65540107;26.09196175;37.31493148;46.75803113;21.64942286;17.65540107;27.2669181;48.93386655;77.85621026
Brazil;1582.642363;1859.340487;2605.040752;3422.243042;4472.038625;1582.642363;1859.340487;2581.68409;3324.472591;4102.65128;1582.642363;1859.340487;2566.658859;3210.711673;3860.366568;1582.642363;1859.340487;2513.684756;2977.818691;3334.536605;1582.642363;1859.340487;2623.838499;3562.459654;4889.240544
Brunei Darussalam;17.56684703;17.92855659;13.16260635;10.11270073;10.70538627;17.56684703;17.92855659;13.31036014;10.39749414;11.22031655;17.56684703;17.92855659;13.10349091;9.617950957;9.640297367;17.56684703;17.92855659;12.88115121;9.047591682;8.600930019;17.56684703;17.92855659;13.31534815;10.74444967;12.11977082
Bulgaria;75.99580835;78.69659984;115.7920994;140.4861669;156.9557073;75.99580835;78.69659984;115.7777535;136.6320188;149.4542306;75.99580835;78.69659984;114.9140161;129.6236697;134.0069332;75.99580835;78.69659984;113.3181114;125.4909787;127.2044667;75.99580835;78.69659984;116.8001762;148.4583149;177.6448956
Burkina Faso;14.2978028;14.1713325;20.21331391;31.62962908;51.77547201;14.2978028;14.1713325;18.26319606;25.80688373;37.85403878;14.2978028;14.1713325;16.73645208;18.87183825;25.34587117;14.2978028;14.1713325;14.97007883;15.73401943;21.50754236;14.2978028;14.1713325;20.39857078;33.79087859;60.99544491
Burundi;2.509912958;3.500702787;6.01192596;11.21317516;18.43870392;2.509912958;3.500702787;5.360982615;8.927072857;12.85778274;2.509912958;3.500702787;4.810719892;6.702167781;7.822513388;2.509912958;3.500702787;4.905318793;7.516175483;10.06439679;2.509912958;3.500702787;6.210446299;12.96800265;24.61096819
Cabo Verde;1.277543887;1.889015026;3.125123555;3.936401406;4.87768136;1.277543887;1.889015026;2.989323781;3.454489405;3.998828728;1.277543887;1.889015026;2.982083086;3.399870738;3.810818182;1.277543887;1.889015026;2.867808393;2.991094997;3.054507467;1.277543887;1.889015026;3.096519123;3.856771265;4.795100223
Cambodia;20.14333375;25.11384108;57.41383094;117.5276469;187.2980769;20.14333375;25.11384108;55.3059626;107.6460631;165.4113346;20.14333375;25.11384108;54.39325819;103.645361;153.4196925;20.14333375;25.11384108;52.6436879;91.7443115;123.279512;20.14333375;25.11384108;57.32641549;118.0048414;192.5201165
